,date,number,time,latitude,longitude,depth,magnitude,type,place
469,1930-05-06,871,07:03:20,37.21,44.57,10.0,5.5,MS,Hakkari
46,2011-10-23,12101,11:32:40,38.7778,43.3947,22.61,5.5,Mw,Van
398,1944-06-25,1235,06:57:49,38.97,29.87,40.0,5.5,MS,Kutahya
171,1988-06-25,6246,16:15:35,38.451,43.083999999999996,15.0,5.5,Mw,Van
399,1944-04-05,1232,04:40:43,40.84,31.12,10.0,5.5,MS,Duzce
15,2017-03-02,0,11:07:25,37.5955,38.4866,9.76,5.5,Mw,Adiyaman
188,1983-10-30,5334,12:40:23,40.366,42.196999999999996,7.6,5.5,Mw,Erzurum
242,1971-05-25,3347,05:43:26,39.025999999999996,29.73,11.8,5.5,MS,Kutahya
480,1927-06-05,755,08:24:56,36.19,31.08,10.0,5.5,MS,Balikesir
241,1971-06-29,3365,09:08:14,37.133,36.856,40.8,5.5,MS,Gaziantep
237,1972-03-14,3448,14:05:48,39.325,29.497,41.4,5.5,MS,Kutahya
255,1970-04-19,3025,13:47:35,38.986,29.829,17.6,5.5,MS,Kutahya
183,1984-09-18,5569,13:26:03,40.885,42.238,10.0,5.5,Mw,Erzurum
173,1988-04-20,6214,03:50:05,39.066,44.115,15.0,5.5,Mw,Van
411,1942-11-21,1200,14:01:53,40.82,34.44,80.0,5.5,MS,Corum
351,1956-01-06,1571,12:15:45,40.39,26.29,10.0,5.5,MS,Canakkale
407,1943-06-20,1209,16:47:57,40.84,30.73,10.0,5.5,MS,Sakarya
405,1943-11-20,1215,10:01:59,36.55,28.36,35.0,5.5,MS,Balikesir
73,2007-02-09,10694,02:22:58,38.321999999999996,39.101,9.7,5.5,Mw,Malatya
435,1939-08-03,1109,12:32:55,39.75,29.68,50.0,5.5,MS,Kutahya
5,2019-03-20,0,06:34:27,37.4401,29.4335,10.76,5.5,Mw,Denizli
82,2005-10-17,10308,05:45:20,38.1336,26.6723,17.9,5.5,Mw,Izmir
1,2020-01-22,0,19:22:16,39.0488,27.8443,10.35,5.4,Mw,Manisa
353,1954-03-28,1514,04:47:52,39.03,40.97,10.0,5.4,MS,Bingol
246,1971-02-23,3264,19:41:24,39.623000000000005,27.343000000000004,10.4,5.4,MS,Balikesir
170,1989-02-19,6371,14:28:50,37.007,28.163,23.3,5.4,Mw,Mugla
314,1964-10-06,1968,14:29:59,40.186,28.153000000000002,28.1,5.4,mb,Bursa
151,1994-01-28,7292,15:45:28,38.681999999999995,27.529,16.5,5.4,Mw,Manisa
363,1953-03-18,1455,21:18:10,39.96,27.59,30.0,5.4,MS,Balikesir
199,1979-12-28,4479,03:09:09,37.493,35.845,44.0,5.4,Mw,Adana
191,1982-03-27,5015,19:57:25,39.218,41.876999999999995,35.0,5.4,mb,Erzurum
