,date,latitude,longitude,depth,magnitude,type,place,year
128,2000-04-21,37.856,29.356,29.2,5.4,Mw,Denizli,2000
129,2000-11-15,38.4509,42.904,55.5,5.5,Mw,Van,2000
130,1999-11-12,40.723,31.516,6.0,5.0,mb,Bolu,1999
131,1999-10-05,36.739,28.226,19.0,5.2,Mw,Mugla,1999
132,1999-11-12,40.806,31.226,11.0,7.1,Mw,Duzce,1999
133,1999-11-11,40.7425,30.2422,17.9,5.6,Mw,Kocaeli,1999
134,1999-08-17,40.77,30.004,15.0,7.6,Mw,Kocaeli,1999
135,1999-11-16,40.738,31.62,10.0,5.0,mb,Bolu,1999
136,1999-11-12,40.78,31.139,8.4,5.2,mb,Duzce,1999
137,1999-04-06,39.368,38.231,15.7,5.4,Mw,Sivas,1999
138,1999-08-17,40.711,29.911,10.0,5.0,mb,Kocaeli,1999
139,1999-09-29,40.734,29.354,7.9,5.2,Mw,Yalova,1999
140,1999-07-25,39.321,27.984,21.2,5.2,Mw,Balikesir,1999
141,1999-08-19,40.571,29.205,14.0,5.1,Mw,Yalova,1999
142,1999-09-13,40.7327,30.0169,17.8,5.8,Mw,Kocaeli,1999
143,1999-12-03,40.5477,42.3559,10.0,5.7,Mw,Erzurum,1999
144,1999-08-31,40.7064,29.8943,20.0,5.1,Mw,Kocaeli,1999
145,1998-07-04,36.846,35.238,37.3,5.4,Mw,Adana,1998
146,1998-06-27,36.9358,35.3664,10.0,6.2,Mw,Adana,1998
147,1998-04-04,38.101,30.171,25.3,5.2,Mw,Balikesir,1998
148,1998-05-09,38.254,38.947,17.2,5.1,Mw,Malatya,1998
149,1998-04-13,39.315,41.12300000000001,15.0,5.2,Mw,Bingol,1998
150,1998-03-09,35.98300000000001,28.41,60.3,5.1,Mw,Balikesir,1998
151,1997-01-21,38.106,29.008000000000006,17.2,5.2,Mw,Denizli,1997
152,1997-01-22,36.177,35.897,61.3,5.2,mb,Hatay,1997
153,1997-01-22,36.167,35.884,49.4,5.0,mb,Hatay,1997
